airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-06-03,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Spicejet,2019-06-12,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,16108
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14231
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,No Info,26890
Jet Airways,2019-06-18,Banglore,Delhi,15:50:00,18:45:00,175,0.0,No Info,8016
Indigo,2019-03-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6674
Spicejet,2019-05-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Vistara,2019-04-21,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Multiple Carriers,2019-04-09,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,6838
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,16274
Jet Airways,2019-06-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Indigo,2019-05-12,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Indigo,2019-06-15,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,16376
Indigo,2019-06-24,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6442
Air India,2019-06-21,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,5894
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,12373
Indigo,2019-06-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Indigo,2019-06-09,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,In-flight meal not included,9134
Indigo,2019-05-18,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6496
Air India,2019-06-03,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,8669
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,10067
Jet Airways,2019-05-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,18:25:00,625,1.0,No Info,16736
Indigo,2019-06-06,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Indigo,2019-05-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Indigo,2019-03-21,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3342
Indigo,2019-03-15,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,9165
Air Asia,2019-05-24,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,09:30:00,640,1.0,No Info,17261
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Spicejet,2019-05-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Vistara,2019-06-15,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Indigo,2019-03-24,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,2754
Jet Airways,2019-06-12,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Spicejet,2019-06-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-06-15,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,5883
Goair,2019-04-24,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,6195
Air India,2019-06-06,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,11753
Indigo,2019-06-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Indigo,2019-06-18,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Indigo,2019-03-09,Delhi,Cochin,06:40:00,21:20:00,880,2.0,No Info,8146
Indigo,2019-06-06,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,6711
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,18:15:00,1265,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,845,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,10844
Air India,2019-03-21,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,5704
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,14714
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Indigo,2019-05-21,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,22:55:00,355,1.0,No Info,9187
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Goair,2019-06-09,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,9069
Vistara,2019-04-09,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Indigo,2019-05-01,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Air India,2019-03-06,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,20416
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1.0,In-flight meal not included,10661
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,11507
Indigo,2019-06-27,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5684
Jet Airways,2019-05-18,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Indigo,2019-04-24,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Air India,2019-06-21,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-05-01,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Air India,2019-05-21,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,10676
Air India,2019-05-24,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,12592
Jet Airways,2019-03-15,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,In-flight meal not included,5853
Indigo,2019-04-12,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Air India,2019-06-06,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,9653
Vistara,2019-06-12,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Air India,2019-06-09,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,18550
Indigo,2019-03-01,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No Info,7295
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Jet Airways,2019-04-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5198
Air India,2019-06-01,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9863
Vistara,2019-05-27,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Indigo,2019-05-06,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,In-flight meal not included,8066
Indigo,2019-05-09,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,11465
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10348
Indigo,2019-05-09,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,4332
Air India,2019-05-21,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,13039
Multiple Carriers,2019-06-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7408
Jet Airways,2019-05-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Multiple Carriers,2019-03-09,Delhi,Cochin,00:20:00,12:55:00,755,1.0,In-flight meal not included,18260
Indigo,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1.0,No Info,7318
Indigo,2019-06-15,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Multiple Carriers,2019-06-06,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1.0,No Info,14714
Indigo,2019-05-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,8586
Jet Airways,2019-05-09,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,12373
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12373
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7074
Multiple Carriers,2019-05-21,Delhi,Cochin,13:05:00,00:55:00,710,1.0,No Info,9486
Indigo,2019-06-21,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Air India,2019-05-21,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8151
Indigo,2019-06-18,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Spicejet,2019-05-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4491
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,12898
Indigo,2019-03-09,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,8146
Air India,2019-03-18,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,11518
Air Asia,2019-06-06,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,6857
Air India,2019-05-21,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,13143
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,12524
Jet Airways,2019-05-06,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,3702
Air India,2019-05-06,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,10151
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,1630,2.0,No Info,13169
Jet Airways,2019-05-27,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,12898
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11989
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No Info,7205
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,16289
Indigo,2019-06-24,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,5775
Multiple Carriers,2019-05-21,Delhi,Cochin,07:10:00,18:10:00,660,1.0,No Info,7038
Indigo,2019-05-01,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,10407
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,11467
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,8073
Air India,2019-05-06,Kolkata,Banglore,07:00:00,10:30:00,1650,3.0,No Info,13007
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,19:10:00,730,1.0,No Info,16736
Air Asia,2019-05-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,14939
Indigo,2019-05-21,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Air India,2019-06-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Multiple Carriers,2019-03-06,Delhi,Cochin,14:35:00,22:20:00,465,1.0,In-flight meal not included,7563
Goair,2019-03-03,Delhi,Cochin,05:45:00,13:20:00,455,1.0,No Info,5628
Multiple Carriers,2019-06-15,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,9526
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Multiple Carriers,2019-04-09,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No Info,6601
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,12898
Air India,2019-03-09,Banglore,New Delhi,11:05:00,09:15:00,1330,1.0,No Info,11077
Multiple Carriers,2019-03-21,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13062
Multiple Carriers,2019-06-15,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Multiple Carriers,2019-03-21,Delhi,Cochin,10:00:00,01:35:00,935,1.0,No Info,8098
Indigo,2019-03-21,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,5198
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,13244
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,In-flight meal not included,8586
Indigo,2019-04-01,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Indigo,2019-06-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13292
Indigo,2019-05-03,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2437
Spicejet,2019-06-12,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,12373
Vistara,2019-06-03,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Indigo,2019-06-27,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-04-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Indigo,2019-05-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Goair,2019-04-09,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Air India,2019-05-09,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,9347
Indigo,2019-05-21,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,5170
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,15:30:00,690,1.0,No Info,14973
Air India,2019-06-06,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,12961
Vistara,2019-05-09,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Indigo,2019-04-24,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,5241
Air India,2019-05-24,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,7171
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,9001
Spicejet,2019-05-12,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13014
Jet Airways,2019-06-09,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Air India,2019-05-27,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,7480
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Air India,2019-03-12,Mumbai,Hyderabad,21:10:00,16:55:00,255,2.0,No Info,16172
Indigo,2019-06-12,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12898
Air India,2019-04-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,6377
Vistara,2019-04-09,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,13067
Multiple Carriers,2019-05-21,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,9103
Air Asia,2019-05-27,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6451
Air India,2019-04-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5911
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,16736
Air India,2019-06-15,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-05-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3850
Jet Airways,2019-06-09,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7005
Jet Airways,2019-03-09,Banglore,New Delhi,18:40:00,00:45:00,365,1.0,No Info,22270
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Spicejet,2019-06-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Spicejet,2019-04-18,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-04-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,12853
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-04-03,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4886
Air India,2019-05-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Indigo,2019-05-21,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,5636
Indigo,2019-04-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4174
Spicejet,2019-06-24,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,6224
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,16000
Multiple Carriers,2019-05-15,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No Info,7670
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Indigo,2019-05-24,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,7503
Spicejet,2019-05-18,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,7317
